" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","2","Mission: Impossible - Ghost Protocol","UIP","$603,380","-29.6%","115","-29","$5,247","$4,455,670","3"
"2","1","Sherlock Holmes: A Game of Shadows","WB","$560,318","-36.2%","104","-38","$5,388","$2,166,542","2"
"3","N","Jack and Jill","Sony","$161,772","-","37","-","$4,372","$172,809","1"
"-","-","Happy Feet Two","WB","$8,355","-59.8%","6","-9","$1,393","$575,708","4"
"-","-","Puss in Boots","UIP","$1,961","-44.1%","1","-4","$1,961","$993,944","6"
"-","-","The Adventures of Tintin","PPI","$1,126","-0.5%","1","-","$1,126","$1,980,320","8"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","N","Sherlock Holmes: A Game of Shadows","WB","$878,475","-","142","-","$6,186","$878,475","1"
"2","1","Mission: Impossible - Ghost Protocol","UIP","$856,917","-39.2%","144","-64","$5,951","$3,182,691","2"
"-","2","Happy Feet Two","WB","$20,785","-79.4%","15","-24","$1,386","$554,597","3"
"-","3","Puss in Boots","UIP","$3,507","-90.5%","5","-15","$701","$998,243","5"
"-","4","Arthur Christmas","Sony","$2,687","-80.1%","3","-5","$896","$246,263","4"
"-","5","The Adventures of Tintin","PPI","$1,132","-72.3%","1","-1","$1,132","$1,996,437","7"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","N","Mission: Impossible - Ghost Protocol","UIP","$1,409,322","-","208","-","$6,776","$1,409,322","1"
"2","1","Happy Feet Two","WB","$100,828","-60.7%","39","-32","$2,585","$479,406","2"
"3","2","Puss in Boots","UIP","$37,067","-65.4%","20","-9","$1,853","$971,605","4"
"4","3","Arthur Christmas","Sony","$13,471","-72.3%","8","-33","$1,684","$240,777","3"
"5","4","The Adventures of Tintin","PPI","$4,088","-88.1%","2","-9","$2,044","$1,992,560","6"
"6","-","Real Steel","Disney","$458","-66.5%","1","-1","$458","$2,154,893","8"
"7","-","Final Destination 5","WB","$314","-80.0%","1","-1","$314","$2,814,779","13"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","N","Happy Feet Two","WB","$256,373","-","71","-","$3,611","$256,373","1"
"2","1","Puss in Boots","UIP","$106,995","-48.1%","29","-21","$3,689","$890,825","3"
"3","2","Arthur Christmas","Sony","$48,643","-66.0%","41","-30","$1,186","$220,237","2"
"4","3","The Adventures of Tintin","PPI","$34,448","-62.1%","11","-17","$3,132","$1,971,978","5"
"-","7","Final Destination 5","WB","$1,573","+201.3%","2","+1","$787","$2,813,077","12"
"-","4","Real Steel","Disney","$1,365","-91.2%","2","-6","$683","$2,153,393","7"
"-","8","Johnny English Reborn","UIP","$1,201","+312.7%","2","+1","$601","$2,458,666","7"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","1","Puss in Boots","UIP","$206,282","-45.7%","50","-31","$4,126","$709,472","2"
"2","N","Arthur Christmas","Sony","$142,992","-","71","-","$2,014","$142,992","1"
"3","2","The Adventures of Tintin","PPI","$90,882","-58.1%","28","-22","$3,246","$1,903,632","4"
"4","-","Real Steel","Disney","$15,493","-54.7%","8","-4","$1,937","$2,147,387","6"
"5","-","Contagion","WB","$10,146","-68.3%","4","-12","$2,537","$233,916","3"
"6","-","Pirates of the Caribbean: On Stranger Tides (3D)","Disney","$883","+26.5%","1","-","$883","$1,309,600","10"
"7","-","Final Destination 5","WB","$522","-64.8%","1","-1","$522","$2,810,839","11"
"8","-","Johnny English Reborn","UIP","$291","-97.8%","1","-12","$291","$2,457,429","6"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","N","Puss in Boots","UIP","$379,690","-","81","-","$4,688","$379,690","1"
"2","1","The Adventures of Tintin","PPI","$216,787","-46.6%","50","-41","$4,336","$1,756,122","3"
"-","2","Real Steel","Disney","$34,209","-70.1%","12","-24","$2,851","$2,132,103","5"
"-","3","Contagion","WB","$32,030","-69.3%","16","-39","$2,002","$215,277","2"
"-","4","Johnny English Reborn","UIP","$13,453","-67.4%","13","-4","$1,035","$2,467,514","5"
"-","-","Final Destination 5","WB","$1,482","+87.8%","2","-","$741","$2,826,132","10"
"-","-","Pirates of the Caribbean: On Stranger Tides (3D)","Disney","$698","-12.2%","1","-","$698","$1,315,917","9"
"-","-","The Smurfs","Sony","$269","-88.2%","2","-","$135","$1,172,893","8"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","1","The Adventures of Tintin","PPI","$406,032","-41.2%","91","-29","$4,462","$1,414,819","2"
"2","2","Real Steel","Disney","$114,380","-65.7%","36","-51","$3,177","$2,061,268","4"
"3","N","Contagion","WB","$104,245","-","55","-","$1,895","$145,425","1"
"4","3","Johnny English Reborn","UIP","$41,263","-86.2%","17","-62","$2,427","$2,441,606","4"
"-","-","Thor","UIP","$2,708","-95.4%","2","-23","$1,354","$273,076","3"
"-","-","The Smurfs","Sony","$2,280","-34.0%","2","-5","$1,140","$1,172,242","7"
"-","-","Pirates of the Caribbean: On Stranger Tides (3D)","Disney","$795","+120.2%","1","-","$795","$1,314,671","8"
"-","-","Final Destination 5","WB","$789","-95.0%","2","-5","$395","$2,824,002","9"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","N","The Adventures of Tintin","PPI","$691,023","-","120","-","$5,759","$719,013","1"
"2","2","Real Steel","Disney","$333,130","-33.0%","87","-10","$3,829","$1,807,957","3"
"3","1","Johnny English Reborn","UIP","$298,207","-47.6%","79","-26","$3,775","$2,293,001","3"
"-","3","Thor","UIP","$59,310","-44.1%","25","-13","$2,372","$242,684","2"
"-","-","Final Destination 5","WB","$15,734","-31.8%","7","-4","$2,248","$2,814,806","8"
"-","-","The Smurfs","Sony","$3,456","-61.9%","7","-2","$494","$1,169,577","6"
"-","-","Cars 2","Disney","$1,312","-72.9%","1","-5","$1,312","$670,199","5"
"-","-","Pirates of the Caribbean: On Stranger Tides (3D)","Disney","$361","-93.4%","1","-3","$361","$1,312,885","7"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","1","Johnny English Reborn","UIP","$569,344","-18.3%","105","-10","$5,422","$1,766,728","2"
"2","2","Real Steel","Disney","$497,501","+5.7%","97","-7","$5,129","$1,241,183","2"
"3","N","Thor","UIP","$106,175","-","38","-","$2,794","$120,699","1"
"-","-","Final Destination 5","WB","$23,074","-21.2%","11","-","$2,098","$2,782,183","7"
"-","-","The Smurfs","Sony","$9,064","-75.9%","9","-21","$1,007","$1,164,261","5"
"-","-","Pirates of the Caribbean: On Stranger Tides (3D)","Disney","$5,479","-47.3%","4","-","$1,370","$1,309,882","6"
"-","-","Cars 2","Disney","$4,840","-89.1%","6","-16","$807","$668,042","4"
"-","-","Super 8","UIP","$1,608","-92.1%","3","-13","$536","$286,789","3"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","N","Johnny English Reborn","UIP","$696,567","-","115","-","$6,057","$896,852","1"
"2","N","Real Steel","Disney","$470,869","-","104","-","$4,528","$470,869","1"
"-","3","Cars 2","Disney","$44,438","-69.2%","22","-28","$2,020","$655,912","3"
"-","1","The Smurfs","Sony","$37,555","-79.2%","30","-34","$1,252","$1,152,023","4"
"-","4","Final Destination 5","WB","$29,263","-25.0%","11","-10","$2,660","$2,742,678","6"
"-","2","Super 8","UIP","$20,231","-86.2%","16","-34","$1,264","$278,806","2"
"-","5","Pirates of the Caribbean: On Stranger Tides (3D)","Disney","$10,402","-56.8%","4","-13","$2,601","$1,299,885","5"
"-","9","Fast Five","UIP","$737","-0.9%","1","-20","$737","$3,167,381","12"
"-","6","Green Lantern","WB","$402","-94.3%","1","-7","$402","$451,022","4"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","-","The Tourist","Sony","$3,234","-","1","-","$3,234","$2,477,473","22"
"2","2","No Strings Attached","UIP","$1,656","+2.3%","1","-","$1,656","$952,960","16"
"3","7","Due Date","WB","$1,650","+1,427.8%","2","+1","$825","$368,517","25"
"4","3","You Again","Disney","$871","-43.7%","1","-3","$871","$173,656","29"
"5","-","Cop Out","WB","$801","-","1","-","$801","$317,403","58"
"6","4","The Other Guys","Sony","$424","+1.7%","1","-","$424","$369,620","34"
"7","1","The Social Network","Sony","$268","-86.7%","2","-1","$134","$366,183","30"
"8","6","A Nightmare on Elm Street (2010)","WB","$247","-29.2%","1","-","$247","$427,216","55"
"9","-","Zombieland","Sony","$188","-","1","-","$188","$231,555","77"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","-","The Social Network","Sony","$2,020","-","3","-","$673","$365,281","29"
"2","4","No Strings Attached","UIP","$1,619","-46.9%","1","-1","$1,619","$950,092","15"
"3","-","You Again","Disney","$1,548","-","4","-","$387","$171,699","28"
"4","5","The Other Guys","Sony","$417","-82.9%","1","-","$417","$369,196","33"
"5","3","Faster","Sony","$415","-86.6%","1","-","$415","$897,610","19"
"6","7","A Nightmare on Elm Street (2010)","WB","$349","-53.0%","1","-","$349","$426,969","54"
"7","8","Due Date","WB","$108","-70.2%","1","-","$108","$366,867","24"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","4","Cop Out","WB","$4,948","+79.7%","2","+1","$2,474","$312,879","56"
"2","1","Paranormal Activity 2","UIP","$4,451","-46.1%","2","-1","$2,226","$415,121","24"
"3","7","Faster","Sony","$3,091","+41.5%","1","-1","$3,091","$895,864","18"
"4","8","No Strings Attached","UIP","$3,051","+44.9%","2","-","$1,526","$947,000","14"
"5","3","The Other Guys","Sony","$2,431","-28.2%","1","-","$2,431","$367,317","32"
"6","-","Green Zone","UIP","$1,859","-","1","-","$1,859","$1,032,116","62"
"7","-","A Nightmare on Elm Street (2010)","WB","$743","-","1","-","$743","$428,961","53"
"8","2","Due Date","WB","$362","-89.9%","1","-","$362","$366,759","23"
"9","9","Little Fockers","UIP","$227","-79.9%","1","-","$227","$530,811","19"
"10","10","Burlesque","Sony","$166","-24.9%","1","-","$166","$312,480","17"
"11","-","Grown Ups","Sony","$59","-","1","-","$59","$488,409","38"
"12","6","Devil","UIP","$35","-98.4%","1","-1","$35","$294,776","22"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","2","Paranormal Activity 2","UIP","$8,250","+18.2%","3","-","$2,750","$405,466","23"
"2","-","Due Date","WB","$3,585","-","1","-","$3,585","$365,706","22"
"3","4","The Other Guys","Sony","$3,384","-44.2%","1","-1","$3,384","$364,171","31"
"4","-","Cop Out","WB","$2,753","-","1","-","$2,753","$303,773","55"
"5","3","Life as We Know It","WB","$2,320","-64.6%","2","-3","$1,160","$330,729","29"
"6","-","Devil","UIP","$2,196","-","2","-","$1,098","$293,067","21"
"7","5","Faster","Sony","$2,184","+10.8%","2","-1","$1,092","$892,324","17"
"8","1","No Strings Attached","UIP","$2,105","-73.7%","2","-1","$1,053","$941,358","13"
"9","7","Little Fockers","UIP","$1,128","+17.4%","1","-","$1,128","$530,584","18"
"10","10","Burlesque","Sony","$221","-46.6%","1","-1","$221","$312,107","16"
"11","8","The Green Hornet","Sony","$111","-76.0%","1","-2","$111","$2,436,721","14"
"12","11","You Again","Disney","$28","-92.7%","1","-","$28","$170,151","26"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","1","No Strings Attached","UIP","$7,999","-26.2%","3","-2","$2,666","$935,586","12"
"2","6","Paranormal Activity 2","UIP","$6,978","+1,099.0%","3","+2","$2,326","$391,816","22"
"3","4","Life as We Know It","WB","$6,557","+390.4%","5","+4","$1,311","$325,911","28"
"4","-","The Other Guys","Sony","$6,067","-","2","-","$3,034","$359,537","30"
"5","5","Faster","Sony","$1,971","+141.8%","3","+1","$657","$889,384","16"
"6","-","Going the Distance","WB","$1,052","-","1","-","$1,052","$97,943","30"
"7","3","Little Fockers","UIP","$961","-40.2%","1","-","$961","$528,598","17"
"8","-","The Green Hornet","Sony","$463","-","3","-","$154","$2,436,610","13"
"9","-","The Book of Eli","Sony","$425","-","1","-","$425","$630,714","55"
"10","9","Burlesque","Sony","$414","+59.9%","2","+1","$207","$311,886","15"
"11","7","You Again","Disney","$382","-30.0%","1","-","$382","$170,122","25"
"12","-","Grown Ups","Sony","$95","-","1","-","$95","$488,350","36"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","1","No Strings Attached","UIP","$10,845","-42.7%","5","-6","$2,169","$904,876","11"
"2","3","Eat Pray Love","Sony","$2,347","-62.8%","1","-3","$2,347","$1,530,058","28"
"3","4","Little Fockers","UIP","$1,607","-67.4%","1","-2","$1,607","$518,106","16"
"4","7","Life as We Know It","WB","$1,337","+62.5%","1","-","$1,337","$311,439","27"
"5","2","Faster","Sony","$815","-92.8%","2","-4","$408","$887,062","15"
"6","11","Paranormal Activity 2","UIP","$582","+261.5%","1","-","$582","$374,996","21"
"7","-","You Again","Disney","$546","-","1","-","$546","$166,767","24"
"8","-","Takers","Sony","$481","-","1","-","$481","$758,427","26"
"9","-","Burlesque","Sony","$259","-","1","-","$259","$311,261","14"
"10","5","The Tourist","Sony","$240","-91.1%","1","-","$240","$2,474,239","17"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","1","No Strings Attached","UIP","$18,930","+18.9%","11","+3","$1,721","$884,198","10"
"2","2","Faster","Sony","$11,313","+23.5%","6","-1","$1,886","$884,241","14"
"3","8","Eat Pray Love","Sony","$6,314","+483.0%","4","+3","$1,579","$1,525,195","27"
"4","3","Little Fockers","UIP","$4,927","-38.0%","3","-2","$1,642","$515,072","15"
"5","-","The Tourist","Sony","$2,681","-","1","-","$2,681","$2,473,461","16"
"6","4","Devil","UIP","$981","-82.0%","2","-2","$491","$283,914","18"
"7","-","Life as We Know It","WB","$823","-","1","-","$823","$310,102","26"
"8","9","Due Date","WB","$599","-43.7%","1","-","$599","$354,784","19"
"9","11","The Other Guys","Sony","$262","+51.5%","1","-","$262","$352,412","28"
"10","-","Legion (2010)","Sony","$175","-","2","-","$88","$723,331","64"
"11","5","Paranormal Activity 2","UIP","$161","-96.1%","1","-1","$161","$374,414","20"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","1","No Strings Attached","UIP","$15,919","-2.6%","8","+2","$1,990","$854,890","9"
